m11,m21,m31
.330838,.2712435,.298061
.3054274,.1927713,.184823
.2333128,.1754694,.1523553
.1673657,.1234912,.1442919
.285227,.1516855,.1306102
.2746269,.1518956,.1279895
.2650025,.1267502,.1332758
.2483091,.1344505,.1333697
.2700377,.1463724,.1233166
.2278245,.2569494,.1152968
.504786,.325107,.234826
.2144753,.2207761,.188672
.2198175,.1507234,.175595
.3225749,.1827327,.1539116
.2963273,.2356365,.1480054
.2790537,.1578993,.1522745
.28997,.1434672,.1373734
.2718905,.140366,.1357377
.2559865,.1750046,.1352499
.4497262,.2966971,.247246
.190211,.1690747,.2034895
.3008941,.2049248,.171534
.3412481,.2148862,.1708392
.3581992,.1570948,.1693513
.2850738,.1786874,.1486782
.2566947,.1772155,.1601414
.2577828,.3333763,.1611799
.3348356,.2253709,.2838689
.3215442,.1831969,.2018668
.2651887,.1701987,.2016191
.2492403,.134598,.1838422
.2389157,.1431885,.1655949
.2164935,.1389653,.1625547
.220006,.1938076,.1485733
.75102,.2811654,.2454063
.5195047,.2602032,.2075931
.504846,.199704,.1845029
.454465,.1900778,.1738672
.3876338,.1936609,.1491711
.3704556,.322153,.1494232
.6213467,.4357297,.3130776
.5445564,.2521188,.2330473
.4342825,.2080146,.2040625
.3918248,.1945864,.1866163
.3427154,.2256361,.1797331
.6029074,.4938901,.3657891
.462237,.2339197,.2307619
.4350587,.2253427,.2394328
.393037,.2717888,.2024553
.5330837,.3616201,.3250917
.4371009,.2731239,.2299422
.3983901,.4776057,.2073904
.5883296,.3675133,.4329618
.4091581,.5129195,.2476513
.471389,1.465473,.3344766
