srep1,srep2,srep3
.7526819,.7534381,.6449112
.7427526,.7372292,.6245208
.7294889,.7202313,.6063703
.7122298,.7023838,.5899063
.6926013,.6838496,.574458
.6723972,.6647623,.5598463
.6526598,.6454994,.546094
.6336107,.6265891,.5333805
.6148024,.6084191,.5220745
.5958462,.5908138,.5127359
.577076,.5734774,.5048195
.5586265,.5564631,.4972248
.5402665,.5397661,.4896871
.5224184,.52404,.482027
.5058393,.5101035,.4733451
.4904455,.4974318,.4628803
.4753175,.4848609,.4504789
.4597755,.4711908,.4364246
.4439649,.45618,.4205885
.4279771,.4398536,.4025906
.4118041,.4221636,.3822355
.3957253,.4033898,.3594244
.3803468,.3833302,.3344285
.3664925,.3595837,.3079866
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
.3549748,.327093,.2807474
